field,unit,window,definition,authoritative_code,missing_value_handling
distinct_drugs,count,see exact extraction expression,Number of distinct vasopressors in the qualifying episode.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
duration_hours,hours,see exact extraction expression,Qualifying episode start to reconstructed cessation; database-specific episode rules are retained.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
gender,categorical,see exact extraction expression,Source category after the existing database-specific mapping; fitted ordered categories and missing-category imputation are exported in each parameter JSON.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
heart_rate_last,beats/min,latest qualifying observation within 6 hours,Heart-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
heart_rate_mean_1h,beats/min,1 hour,Heart-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
heart_rate_mean_6h,beats/min,6 hours,Heart-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
heart_rate_sd_1h,beats/min,1 hour,Heart-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
heart_rate_sd_6h,beats/min,6 hours,Heart-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
heart_rate_slope_toward_stop_6h,beats/min per hour,6 hours,Heart-rate summary over the named pre-cessation window. Linear regression slope toward cessation.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
hemoglobin_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
lactate_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
lactate_minutes_since,minutes,see exact extraction expression,Time since the latest qualifying laboratory measurement before cessation; missing when no qualifying value exists.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_arterial_pct_6h,percent,6 hours,"MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times. Fraction of qualifying measurements below 65 mm Hg or from an arterial source, as named; a descriptive feature, not a validated treatment threshold.",code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_below65_pct_1h,percent,1 hour,"MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times. Fraction of qualifying measurements below 65 mm Hg or from an arterial source, as named; a descriptive feature, not a validated treatment threshold.",code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_below65_pct_6h,percent,6 hours,"MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times. Fraction of qualifying measurements below 65 mm Hg or from an arterial source, as named; a descriptive feature, not a validated treatment threshold.",code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_last,mm Hg,latest qualifying observation within 6 hours,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_mean_1h,mm Hg,1 hour,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_mean_6h,mm Hg,6 hours,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_min_1h,mm Hg,1 hour,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_min_6h,mm Hg,6 hours,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_sd_1h,mm Hg,1 hour,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_sd_6h,mm Hg,6 hours,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
map_slope_toward_stop_6h,mm Hg per hour,6 hours,MAP summary; arterial measurements take precedence over non-invasive measurements at shared source times. Linear regression slope toward cessation.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
maximum_active_agents_6h,count,6 hours,"Number of simultaneously active agents at the last dose-grid point or maximum across the six-hour grid, respectively.",code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
modified_shock_index_last,(beats/min)/mm Hg,latest qualifying observation within 6 hours,Latest heart rate divided by latest MAP; zero denominator produces missing.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_last_5min,norepinephrine-equivalent dose (micrograms/kg/min),see exact extraction expression,Summary of the original database-specific pre-cessation dose grid; conversion and unresolved-unit handling remain in the dose extraction code.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_last_to_max_ratio,ratio,see exact extraction expression,Last grid dose divided by the maximum six-hour grid dose; denominator zero produces missing.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_max_1h,norepinephrine-equivalent dose (micrograms/kg/min),1 hour,Summary of the original database-specific pre-cessation dose grid; conversion and unresolved-unit handling remain in the dose extraction code.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_max_6h,norepinephrine-equivalent dose (micrograms/kg/min),6 hours,Summary of the original database-specific pre-cessation dose grid; conversion and unresolved-unit handling remain in the dose extraction code.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_mean_1h,norepinephrine-equivalent dose (micrograms/kg/min),1 hour,Summary of the original database-specific pre-cessation dose grid; conversion and unresolved-unit handling remain in the dose extraction code.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_mean_6h,norepinephrine-equivalent dose (micrograms/kg/min),6 hours,Summary of the original database-specific pre-cessation dose grid; conversion and unresolved-unit handling remain in the dose extraction code.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
nee_slope_toward_stop_6h,norepinephrine-equivalent dose (micrograms/kg/min) per hour,6 hours,Summary of the original database-specific pre-cessation dose grid; conversion and unresolved-unit handling remain in the dose extraction code. Linear slope toward cessation.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
ph_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
ph_minutes_since,minutes,see exact extraction expression,Time since the latest qualifying laboratory measurement before cessation; missing when no qualifying value exists.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
platelets_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
respiratory_rate_last,breaths/min,latest qualifying observation within 6 hours,Respiratory-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
respiratory_rate_mean_6h,breaths/min,6 hours,Respiratory-rate summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
spo2_last,percent,latest qualifying observation within 6 hours,Oxygen saturation summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
spo2_mean_6h,percent,6 hours,Oxygen saturation summary over the named pre-cessation window.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
temperature_c_last,degrees Celsius,latest qualifying observation within 6 hours,Latest qualifying temperature; Fahrenheit source values converted using the existing formula.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
terminal_drug,categorical,see exact extraction expression,Source category after the existing database-specific mapping; fitted ordered categories and missing-category imputation are exported in each parameter JSON.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
wbc_last,source laboratory units (valueuom); pH is unitless,latest qualifying observation within 6 hours,Latest qualifying blood laboratory measurement in the six hours before cessation; existing item matching and cleaning bounds are retained. No additional unit conversion is introduced.,code/mimic/stage04.py; code/mimic/stage05.py; code/mimic/stage07.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
zero_nee_grid_pct_6h,percent,6 hours,Percentage of six-hour dose-grid points with zero total norepinephrine-equivalent dose under existing grid rules.,code/mimic/stage07.py; code/eicu/eicu_stage2_external_features.py,Preserve missing extraction values; model-specific learned imputation and missingness indicators are exported in JSON.
